price_id,item_id,ts,price,qty,size,source_file,raw_product_line,brand_name,attributes
357,52,2025-01-31,9.99,1,"18oz, plastic clamshell containers",Store 1.txt,Organic Blueberries,Store brand,
205,52,2025-10-14,7.98,2,"18oz, plastic clamshell containers",Store 1.txt,Organic Blueberries,Store brand,
295,25,2025-06-19,2.49,1,Bunch bound with plastic twist tie,Store 1.txt,Organic Cilantro,Store brand,
347,25,2025-04-09,4,2,Bunch bound with plastic twist tie,Store 1.txt,Organic Cilantro,Store brand,
400,25,2025-01-18,2.75,1,Bunch bound with plastic twist tie,Store 1.txt,Organic Cilantro,Store brand,
288,25,2025-07-03,4,2,Bunch bound with plastic twist tie,Store 1.txt,Organic Cilantro,Store brand,
214,25,2025-10-14,5,2,Bunch bound with plastic twist tie,Store 1.txt,Organic Cilantro,Store brand,
235,25,2025-09-17,2.5,1,Bunch bound with plastic twist tie,Store 1.txt,Organic Cilantro,Store brand,
236,130,2025-09-17,1.17,,0.52 lb,Store 1.txt,Organic Delicata Squash,Store brand,
414,116,2026-01-10,5.99,1,,Store 1.txt,Organic French Beans,Store brand,
215,116,2025-10-14,5.99,1,,Store 1.txt,Organic French Beans,Store brand,
378,188,2025-01-24,3.49,1,Bunch bound with plastic twist tie,Store 1.txt,Organic French Breakfast Radish,Store brand,
225,121,2025-09-17,5.99,1,Plastic Bag,Store 1.txt,Organic Fuji Apples,Store brand,
260,34,2025-07-30,7.98,2,,Store 1.txt,Organic Garlic,Store brand,
415,34,2026-01-10,7.98,2,"2.4oz plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",Store 1.txt,Organic Garlic,Store brand,
348,34,2025-04-09,3.99,1,"2.4oz plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",Store 1.txt,Organic Garlic,Store brand,
246,35,2025-09-11,5.98,2,"approx. 6oz plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",Store 1.txt,Organic Ginger Root,Store brand,
364,35,2025-01-31,5,2,"approx. 6oz plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",Store 1.txt,Organic Ginger Root,Store brand,
261,35,2025-07-30,5.98,2,"approx. 6oz plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",Store 1.txt,Organic Ginger Root,Store brand,
379,35,2025-01-24,2.99,1,"approx. 6oz plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",Store 1.txt,Organic Ginger Root,Store brand,
289,35,2025-07-03,6.38,2,"approx. 6oz plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",Store 1.txt,Organic Ginger Root,Store brand,
216,35,2025-10-14,5.98,2,"approx. 6oz plastic mesh bag (polyethylene/polypropylene netting, plastic clip)",Store 1.txt,Organic Ginger Root,Store brand,
358,174,2025-01-31,6.99,1,,Store 1.txt,Organic Golden Pineapple,Store brand,
407,174,2026-01-10,7.99,1,,Store 1.txt,Organic Golden Pineapple,Store brand,
322,117,2025-05-13,2.49,1,,Store 1.txt,Organic Green Cucumber,Store brand,
306,117,2025-06-05,2.49,1,,Store 1.txt,Organic Green Cucumber,Store brand,
253,117,2025-08-11,3,2,,Store 1.txt,Organic Green Cucumber,Store brand,
416,117,2026-01-10,2.49,1,,Store 1.txt,Organic Green Cucumber,Store brand,
401,117,2025-01-18,3.98,2,,Store 1.txt,Organic Green Cucumber,Store brand,
217,117,2025-10-14,2.49,1,,Store 1.txt,Organic Green Cucumber,Store brand,
237,117,2025-09-17,2.49,1,,Store 1.txt,Organic Green Cucumber,Store brand,
238,77,2025-09-17,2.99,,1.54 lb,Store 1.txt,Organic Green Zucchini,Store brand,
