product_id,source_store_id,store_name,title,brand,price,size_value,size_unit,unit_price,unit_price_unit,organic,category,ingredient_key,ingredient_form,is_synthetic,packaging
prod_freshdirect_0019,freshdirect,FreshDirect,"Whole Chicken, Air-Chilled, Raised w/o Antibiotics",Katie's Best,4.49,3.5,lb,0.2806,oz,False,protein_poultry,chicken,whole,False,
prod_freshdirect_0020,freshdirect,FreshDirect,"Boneless Skinless Chicken Breasts, Raised w/o Antibiotics",Springer Mountain Farms,6.49,1.5,lb,0.4056,oz,False,protein_poultry,chicken,unknown,False,
prod_freshdirect_0021,freshdirect,FreshDirect,"Chicken Drumsticks, Raised w/o Antibiotics",Springer Mountain Farms,3.49,1.5,lb,0.2181,oz,False,protein_poultry,chicken,drumsticks,False,
prod_freshdirect_0022,freshdirect,FreshDirect,"Chicken Drumsticks, Air-Chilled, Raised w/o Antibiotics",Katie's Best,4.49,1.5,lb,0.2806,oz,False,protein_poultry,chicken,drumsticks,False,
prod_freshdirect_0023,freshdirect,FreshDirect,"Chicken Drumsticks, Raised w/o Antibiotics",Empire Kosher,5.99,1.5,lb,0.3744,oz,False,protein_poultry,chicken,drumsticks,False,
prod_freshdirect_0024,freshdirect,FreshDirect,"Boneless Skinless Drumsticks, Air-Chilled, Raised Without Antibiotics",Smart Chicken,4.99,1.5,lb,0.3119,oz,False,protein_poultry,chicken,drumsticks,False,
prod_freshdirect_0025,freshdirect,FreshDirect,"Organic Boneless Skinless Drumsticks, Air-Chilled",Smart Chicken,6.99,1.5,lb,0.4369,oz,True,protein_poultry,chicken,drumsticks,False,
prod_freshdirect_0026,freshdirect,FreshDirect,"Organic Whole Legs, Air-Chilled",Smart Chicken,5.49,2.0,lb,0.3431,oz,True,protein_poultry,chicken,legs,False,
prod_freshdirect_0027,freshdirect,FreshDirect,"Whole Chicken Legs, Air-Chilled, Raised w/o Antibiotics",Katie's Best,4.49,2.0,lb,0.2806,oz,False,protein_poultry,chicken,legs,False,
prod_freshdirect_0028,freshdirect,FreshDirect,"Chicken Leg Quarters, Raised w/o Antibiotics",Empire Kosher,4.99,2.0,lb,0.3119,oz,False,protein_poultry,chicken,legs,False,
prod_freshdirect_0029,freshdirect,FreshDirect,"Chicken Drumsticks & Thighs, Air-Chilled, Raised w/o Antibiotics",Katie's Best,4.99,1.5,lb,0.3119,oz,False,protein_poultry,chicken,drumsticks,False,
